Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,A,D,SU,2391,18:00,SVO,Цюрих,32B,51,DGA_D,157
24.08.2019,D,D,EO,443,17:55,SJW,Шицзячжуан,763,60,DGA_I,284
24.08.2019,A,D,SU,2055,17:30,SVO,Тиват,73H,36,DGA_D,160
24.08.2019,D,D,SU,2386,18:10,ARN,Стокгольм,320,32,DGA_I,100
24.08.2019,D,D,SU,2124,16:15,SKG,Салоники,321,12,DGA_I,140
24.08.2019,D,D,BA,234,18:10,LHR,Лондон,321,36,DGA_I,138
24.08.2019,D,D,SU,2604,18:15,MAD,Мадрид,32B,6,DGA_I,167
24.08.2019,D,D,SU,1832,18:10,MSQ,Минск,SU9,68,DGA_I,50
24.08.2019,D,D,SU,2680,18:15,RIX,Рига,320,34,DGA_I,87
24.08.2019,D,D,SU,2002,18:05,WAW,Варшава,32A,25,DGA_I,143
24.08.2019,D,D,SU,2200,18:20,HEL,Хельсинки,320,24,DGA_I,69
24.08.2019,A,D,SU,2137,18:25,SVO,Стамбул,32A,57,DGA_D,150
24.08.2019,D,D,SU,2534,18:25,OSL,Осло,SU9,71,DGA_I,85
24.08.2019,A,D,3U,609,18:25,SVO,Чэнду,333,52,DGA_D,245
24.08.2019,D,D,SU,2392,18:25,ZRH,Цюрих,320,59,DGA_I,129
24.08.2019,A,D,SU,503,18:45,SVO,Тель-Авив,77W,26,DGA_D,291
24.08.2019,A,D,MU,5009,17:00,XIY,Шанхай-Сиань,333,59,DGA_D,250
24.08.2019,D,D,SU,330,18:35,ULN,Улан-Батор,332,7A,DGA_I,163
24.08.2019,A,D,SU,2455,18:55,SVO,Париж,32B,24,DGA_D,138
24.08.2019,A,D,SU,2073,18:45,SVO,Ларнака,32B,34,DGA_D,177
24.08.2019,D,D,SU,2404,18:40,FCO,Рим,320,47,DGA_I,115
24.08.2019,D,D,SU,524,18:40,DXB,Дубай,73H,57,DGA_I,136
24.08.2019,D,D,SU,504,18:40,TLV,Тель-Авив,77W,26,DGA_I,393
24.08.2019,A,D,SU,2579,19:10,SVO,Лондон,333,31,DGA_D,255
24.08.2019,D,D,SU,2304,18:50,FRA,Франкфурт,320,69,DGA_I,132
24.08.2019,D,D,SU,2262,18:55,TLL,Таллин,SU9,81,DGA_I,74
24.08.2019,A,D,SN,2845,18:40,SVO,Брюссель,319,40,DGA_D,127
24.08.2019,D,D,SU,2338,19:00,STR,Штутгарт,32A,11,DGA_I,146
24.08.2019,A,D,SU,2419,19:10,SVO,Рим,73H,19,DGA_D,142
24.08.2019,D,D,SU,232,18:50,DEL,Дели,333,42A,DGA_I,210
24.08.2019,D,D,KE,924,18:55,ICN,Сеул,789,29A,DGA_I,250
24.08.2019,D,D,SU,274,18:50,HKT,Пхукет,333,31,DGA_I,145
24.08.2019,D,D,SU,260,19:00,NRT,Токио,77W,19A,DGA_I,371
24.08.2019,A,D,CZ,655,19:15,SVO,Гуанчжоу,332,29A,DGA_D,225
24.08.2019,D,D,CA,910,18:45,PEK,Пекин,333,53A,DGA_I,261
24.08.2019,A,D,SU,2613,19:25,SVO,Милан,73H,20,DGA_D,140
24.08.2019,A,D,SU,2503,19:35,SVO,Валенсия,73H,48,DGA_D,148
24.08.2019,D,D,SU,220,19:05,CAN,Гуанчжоу,333,74A,DGA_I,279
24.08.2019,A,D,SU,2639,17:35,SVO,Барселона,32B,21,DGA_D,178
24.08.2019,D,D,SU,270,19:10,BKK,Бангкок,333,21A,DGA_I,237
24.08.2019,D,D,AF,1745,18:45,CDG,Париж,321,40,DGA_I,189
24.08.2019,D,D,SU,2016,19:15,PRG,Прага,32B,58,DGA_I,143
24.08.2019,A,D,CZ,6001,20:10,SVO,Урумчи,73H,33,DGA_D,149
24.08.2019,D,D,SU,2512,19:20,BCN,Барселона,32B,25,DGA_I,172
24.08.2019,A,D,SU,2603,20:00,SVO,Мадрид,32B,27,DGA_D,167
24.08.2019,D,D,SU,263,19:10,LHR,Лондон,321,79,DGA_I,148
24.08.2019,A,D,LO,677,19:45,SVO,Варшава,E95,41,DGA_D,99
24.08.2019,D,D,SU,212,19:20,HKG,Гонконг,77W,48A,DGA_I,348
24.08.2019,A,D,SU,2467,20:20,SVO,Будапешт,SU9,49,DGA_D,66
24.08.2019,D,D,SU,2606,19:30,LIS,Лиссабон,73H,61,DGA_I,128
24.08.2019,D,D,SU,290,19:25,HAN,Ханой,77W,9A,DGA_I,272
24.08.2019,A,D,SU,2649,19:50,SVO,Барселона,32B,25,DGA_D,178
24.08.2019,D,D,SU,2436,19:30,DUS,Дюссельдорф,32A,14,DGA_I,157
24.08.2019,A,D,BT,422,19:55,SVO,Рига,CS3,36,DGA_D,143
24.08.2019,D,D,SU,2112,19:25,ATH,Афины,32B,51,DGA_I,102
24.08.2019,D,D,SU,2460,19:35,CDG,Париж,321,27,DGA_I,155
24.08.2019,D,D,SU,2594,19:45,MUC,Мюнхен,320,5,DGA_I,124
24.08.2019,D,D,SU,2316,19:35,SXF,Берлин,32A,10,DGA_I,121
24.08.2019,D,D,SU,2618,19:50,BRU,Брюссель,73H,36,DGA_I,145
24.08.2019,D,D,SU,2590,19:35,DUB,Дублин,320,39,DGA_I,111
24.08.2019,A,D,SU,521,20:50,SVO,Дубай,73H,37,DGA_D,139
24.08.2019,D,D,MU,592,19:05,PVG,Шанхай,333,56,DGA_I,269
24.08.2019,D,D,SU,2376,20:00,LYS,Лион,32A,45,DGA_I,151
24.08.2019,D,D,SU,2192,19:45,AMS,Амстердам,32B,55,DGA_I,183
24.08.2019,D,D,SU,122,19:40,JFK,Нью-Йорк,333,46,DGA_I,279
24.08.2019,A,D,SU,2165,20:45,SVO,Вильнюс,SU9,32,DGA_D,77
24.08.2019,D,D,SU,2422,19:45,VCE,Венеция,73H,62B,DGA_I,138
24.08.2019,D,D,SU,2496,19:50,CPH,Копенгаген,73H,64B,DGA_I,56
24.08.2019,D,D,SU,2414,19:55,MXP,Милан,32B,24,DGA_I,170
24.08.2019,A,D,SU,2407,20:15,SVO,Рим,320,28,DGA_D,126
24.08.2019,A,D,SU,2463,20:35,SVO,Париж,31U,24,DGA_D,134
24.08.2019,D,D,SU,2354,20:00,VIE,Вена,73H,35,DGA_I,120
24.08.2019,D,D,HU,7986,19:55,PEK,Пекин,333,37A,DGA_I,227
24.08.2019,A,D,AY,713,19:20,SVO,Хельсинки,E90,22,DGA_D,97
24.08.2019,D,D,SU,2428,20:05,BLQ,Болонья,73H,4D,DGA_I,151
24.08.2019,D,D,SU,208,20:05,PVG,Шанхай,77W,77,DGA_I,378
24.08.2019,D,D,B2,978,20:30,MSQ,Минск,E95,7,DGA_I,92
24.08.2019,D,D,SU,2144,20:15,AYT,Анталья,320,32,DGA_I,79
24.08.2019,D,D,SU,2092,20:15,BEG,Белград,32A,12,DGA_I,71
24.08.2019,D,D,SU,2070,20:00,LCA,Ларнака,320,72,DGA_I,97
24.08.2019,A,D,JU,654,20:45,SVO,Белград,319,40,DGA_D,142
24.08.2019,A,D,KC,875,21:00,SVO,Алматы,32A,35,DGA_D,142
24.08.2019,D,D,SN,2846,19:30,BRU,Брюссель,319,40,DGA_I,129
24.08.2019,D,D,LO,678,20:40,WAW,Варшава,E95,41,DGA_I,80
24.08.2019,D,D,3U,610,20:20,CTU,Чэнду,333,52,DGA_I,241
24.08.2019,D,D,SU,1868,20:40,EVN,Ереван,73H,20,DGA_I,137
24.08.2019,D,D,SU,1870,20:45,TAS,Ташкент,333,31,DGA_I,294
24.08.2019,D,D,SU,250,20:45,ICN,Сеул,77W,23,DGA_I,388
24.08.2019,A,D,N4,1806,21:15,SVO,Анталья,77W,52,DGA_D,489
24.08.2019,D,D,SU,1894,20:50,OSS,Ош,73H,19,DGA_I,160
24.08.2019,A,D,KC,873,21:20,SVO,Нур-Султан,321,36,DGA_D,155
24.08.2019,D,D,BT,423,20:40,RIX,Рига,CS3,36,DGA_I,74
24.08.2019,A,D,N4,204,21:10,SVO,Фергана,73H,57,DGA_D,175
24.08.2019,D,D,SU,400,20:45,CAI,Каир,32B,21,DGA_I,163
24.08.2019,D,D,MU,5010,19:10,XIY,Сиань-Шанхай,333,59,DGA_I,247
24.08.2019,A,D,SU,2015,21:25,SVO,Прага,73H,20,DGA_D,154
24.08.2019,D,D,SU,2038,20:55,OTP,Бухарест,SU9,63B,DGA_I,62
24.08.2019,D,D,SU,512,21:05,IKA,Тегеран,32A,67A,DGA_I,73
24.08.2019,A,D,SU,2327,21:40,SVO,Мюнхен,32A,25,DGA_D,154
24.08.2019,D,D,CZ,656,21:10,CAN,Гуанчжоу,332,29A,DGA_I,252
24.08.2019,D,D,SU,2134,21:15,IST,Стамбул,73H,51,DGA_I,58
24.08.2019,D,D,SU,1946,21:00,ALA,Алматы,32B,25,DGA_I,159
24.08.2019,D,D,SU,2108,21:15,VNO,Вильнюс,320,60,DGA_I,83
24.08.2019,A,D,SU,2315,21:45,SVO,Берлин,32A,21,DGA_D,149
24.08.2019,D,D,AY,714,20:30,HEL,Хельсинки,E90,22,DGA_I,83
24.08.2019,D,D,CZ,6002,21:35,URC,Урумчи,73H,33,DGA_I,157
24.08.2019,D,D,SU,1950,21:40,CIT,Шымкент,32A,47,DGA_I,122
24.08.2019,A,D,SU,2117,22:05,SVO,Афины,320,46,DGA_D,136
24.08.2019,D,D,SU,204,21:20,PEK,Пекин,77W,26,DGA_I,395
24.08.2019,A,D,SU,2621,21:55,SVO,Малага,73H,31,DGA_D,159
24.08.2019,A,D,RL,7526,22:00,SVO,Аланья,75W,58,DGA_D,224
24.08.2019,D,D,SU,1882,21:45,FRU,Бишкек,32B,27,DGA_I,146
24.08.2019,D,D,SU,1834,22:00,MSQ,Минск,SU9,49,DGA_I,61
24.08.2019,D,D,JU,655,21:35,BEG,Белград,319,40,DGA_I,90
24.08.2019,D,D,SU,320,21:55,MLE,Мале,333,50,DGA_I,180
24.08.2019,A,D,SU,2523,22:05,SVO,Аликанте,32B,33,DGA_D,175
24.08.2019,D,D,KC,876,22:05,ALA,Алматы,32A,35,DGA_I,93
24.08.2019,A,D,RL,7516,21:55,SVO,Керкира(Корфу),73H,55,DGA_D,188
24.08.2019,A,D,N4,378,22:25,SVO,Ереван,332,59,DGA_D,262
24.08.2019,A,D,N4,1804,22:30,SVO,Анталья,77W,50,DGA_D,492
24.08.2019,D,D,SU,1936,22:25,KGF,Караганда,31U,24,DGA_I,152
24.08.2019,A,D,SU,2695,22:40,SVO,Амстердам,31U,36,DGA_D,136
24.08.2019,D,D,KC,874,22:20,TSE,Нур-Султан,321,36,DGA_I,92
24.08.2019,A,D,SU,2201,22:45,SVO,Хельсинки,320,24,DGA_D,128
24.08.2019,A,D,SU,2657,23:10,SVO,Франкфурт,73H,30,DGA_D,150
24.08.2019,D,D,SU,1844,22:45,KIV,Кишинёв,321,19,DGA_I,153
24.08.2019,A,D,RL,7546,22:50,SVO,Аланья,73H,54,DGA_D,189
24.08.2019,A,D,SU,2361,22:40,SVO,Ницца,321,38,DGA_D,172
24.08.2019,A,D,SU,2349,22:45,SVO,Гамбург,320,27,DGA_D,129
24.08.2019,A,D,SU,2629,22:50,SVO,Брюссель,73H,37,DGA_D,105
24.08.2019,D,D,SU,2118,22:55,RIX,Рига,SU9,32,DGA_I,29
24.08.2019,A,D,SU,2583,23:10,SVO,Лондон,73H,26,DGA_D,153
24.08.2019,D,D,SU,530,22:55,BEY,Бейрут,320,39,DGA_I,64
24.08.2019,A,D,SU,509,23:05,SVO,Тель-Авив,320,22,DGA_D,113
24.08.2019,D,D,SU,1876,22:40,BHK,Бухара,32A,25,DGA_I,153
24.08.2019,A,D,SU,1863,23:20,SVO,Ереван,32B,23,DGA_D,186
24.08.2019,A,D,SU,2387,23:30,SVO,Стокгольм,320,32,DGA_D,95
24.08.2019,A,D,SU,2025,23:25,SVO,Прага,32A,20,DGA_D,154
24.08.2019,A,D,SU,2409,23:05,SVO,Рим,320,19,DGA_D,127
24.08.2019,A,D,SU,2353,23:25,SVO,Вена,32A,35,DGA_D,154
24.08.2019,A,D,N4,1724,23:30,SVO,Монастир,772,52,DGA_D,444
24.08.2019,A,D,ZF,9008,23:40,SVO,Анталья,77W,48A,DGA_D,535
24.08.2019,D,D,SU,1866,23:40,EVN,Ереван,32B,34,DGA_I,109
24.08.2019,A,D,SU,2049,23:55,SVO,Сплит,32B,31,DGA_D,181
24.08.2019,D,D,SU,1852,23:50,GYD,Баку,73H,31,DGA_I,89
24.08.2019,D,D,N4,171,23:55,KSQ,Карши,73H,51,DGA_I,181
24.08.2019,A,D,RL,7706,23:50,SVO,Анталья,763,56,DGA_D,331
24.08.2019,D,D,SU,1956,23:50,TSE,Нур-Султан,32B,33,DGA_I,179
24.08.2019,A,D,RL,7506,23:10,SVO,Энфида,77W,53A,DGA_D,491
24.08.2019,A,D,N4,4408,23:35,SVO,Пальма-де-Майорка,321,57,DGA_D,220
