Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,D,D,SU,2684,7:15,SXF,Берлин,73H,80,DGA_I,132
24.08.2019,A,D,N4,478,7:50,SVO,Ереван,73H,58,DGA_D,176
24.08.2019,A,D,SU,1957,8:05,SVO,Нур-Султан,32B,53,DGA_D,176
24.08.2019,D,D,SU,1880,7:40,FRU,Бишкек,32A,22,DGA_I,128
24.08.2019,D,D,SU,2482,7:35,VRN,Верона,320,21,DGA_I,134
24.08.2019,D,D,SU,2010,7:30,PRG,Прага,73H,48,DGA_I,128
24.08.2019,D,D,SU,2452,7:35,CDG,Париж,32B,58,DGA_I,171
24.08.2019,D,D,SU,2536,7:35,DUS,Дюссельдорф,32B,79,DGA_I,167
24.08.2019,A,D,FB,643,7:50,SVO,Бургас,320,50,DGA_D,180
24.08.2019,D,D,SU,1940,7:45,ALA,Алматы,73H,53,DGA_I,146
24.08.2019,D,D,SU,2006,7:45,WAW,Варшава,320,32,DGA_I,101
24.08.2019,D,D,SU,2424,7:50,BLQ,Болонья,320,84,DGA_I,132
24.08.2019,D,D,SU,2130,7:50,IST,Стамбул,73H,39,DGA_I,121
24.08.2019,D,D,SU,2480,8:00,NAP,Неаполь,73H,19,DGA_I,142
24.08.2019,D,D,8L,882,6:15,KMG,Куньмин,333,50,DGA_I,290
24.08.2019,A,D,SU,331,8:40,SVO,Улан-Батор,332,31,DGA_D,228
24.08.2019,D,D,SU,2306,7:55,FRA,Франкфурт,32B,4D,DGA_I,171
24.08.2019,D,D,SU,2110,8:05,ATH,Афины,32B,55,DGA_I,159
24.08.2019,D,D,SU,252,8:00,ICN,Сеул,333,31,DGA_I,260
24.08.2019,D,D,SU,1872,8:10,TAS,Ташкент,73H,43A,DGA_I,152
24.08.2019,D,D,SU,2060,8:15,SOF,София,32A,35,DGA_I,111
24.08.2019,D,D,SU,520,8:15,DXB,Дубай,73H,34,DGA_I,152
24.08.2019,D,D,RL,7571,7:20,PUJ,Пунта Кана,77W,52,DGA_I,492
24.08.2019,D,D,SU,2410,8:25,MXP,Милан,320,11,DGA_I,131
24.08.2019,A,D,KC,893,8:50,SVO,Нур-Султан,E90,41,DGA_D,93
24.08.2019,D,D,SU,2168,8:15,BRU,Брюссель,73H,47,DGA_I,146
24.08.2019,D,D,SU,2202,8:30,HEL,Хельсинки,32A,33,DGA_I,142
24.08.2019,A,D,SU,203,8:55,SVO,Пекин,333,23,DGA_D,279
24.08.2019,D,D,SU,2378,8:35,MRS,Марсель,321,20,DGA_I,112
24.08.2019,D,D,SU,2402,8:35,FCO,Рим,320,41,DGA_I,123
24.08.2019,D,D,SU,2602,8:35,MAD,Мадрид,32B,3,DGA_I,163
24.08.2019,D,D,SU,2106,8:45,TLL,Таллин,73H,64B,DGA_I,108
24.08.2019,D,D,SU,1830,8:35,MSQ,Минск,SU9,77,DGA_I,76
24.08.2019,D,D,SU,2576,8:50,LHR,Лондон,320,83,DGA_I,103
